timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:06:05.097385,12.72,neutral,0.35,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.19, 'happy': 0.01, 'sad': 0.35, 'surprise': 0.02, 'neutral': 0.35}","[407, 158, 149, 189]"
2025-09-03T18:06:05.251115,12.87,sad,0.56,"{'angry': 0.08, 'disgust': 0.0, 'fear': 0.11, 'happy': 0.08, 'sad': 0.14, 'surprise': 0.03, 'neutral': 0.56}","[419, 172, 152, 200]"
2025-09-03T18:06:05.404307,13.02,neutral,0.74,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.06, 'sad': 0.08, 'surprise': 0.01, 'neutral': 0.74}","[404, 171, 164, 203]"
2025-09-03T18:06:05.558804,13.18,neutral,0.85,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.02, 'sad': 0.05, 'surprise': 0.01, 'neutral': 0.85}","[384, 152, 158, 198]"
2025-09-03T18:06:05.712506,13.33,neutral,0.56,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.2, 'sad': 0.06, 'surprise': 0.05, 'neutral': 0.56}","[374, 149, 167, 221]"
2025-09-03T18:06:05.852299,13.47,neutral,0.47,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.07, 'sad': 0.47, 'surprise': 0.01, 'neutral': 0.3}","[363, 176, 193, 260]"
2025-09-03T18:06:06.008862,13.63,neutral,0.35,"{'angry': 0.16, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.35, 'sad': 0.21, 'surprise': 0.0, 'neutral': 0.15}","[360, 202, 209, 281]"
2025-09-03T18:06:06.780699,14.4,neutral,0.39,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.02, 'sad': 0.39, 'surprise': 0.0, 'neutral': 0.34}","[261, 249, 208, 283]"
2025-09-03T18:06:06.920393,14.54,neutral,0.38,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.13, 'happy': 0.05, 'sad': 0.3, 'surprise': 0.0, 'neutral': 0.38}","[252, 236, 244, 332]"
2025-09-03T18:06:07.074206,14.69,neutral,0.5,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.17, 'sad': 0.22, 'surprise': 0.0, 'neutral': 0.5}","[279, 206, 243, 333]"
2025-09-03T18:06:07.245552,14.86,neutral,0.65,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.03, 'sad': 0.22, 'surprise': 0.0, 'neutral': 0.65}","[291, 221, 232, 316]"
2025-09-03T18:06:07.441673,15.06,neutral,0.83,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.02, 'sad': 0.1, 'surprise': 0.0, 'neutral': 0.83}","[281, 187, 194, 239]"
2025-09-03T18:06:07.641807,15.26,neutral,0.76,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.03, 'sad': 0.14, 'surprise': 0.0, 'neutral': 0.76}","[275, 167, 174, 220]"
2025-09-03T18:06:07.807971,15.43,neutral,0.93,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.02, 'sad': 0.03, 'surprise': 0.0, 'neutral': 0.93}","[293, 136, 176, 224]"
